"Common_name","State","Source","set_tows","total_lengths","total_ages","total_otoliths","n_years","ave_set_tows","ave_lengths","ave_ages","ave_otoliths"
"aurora rockfish","Washington","Commercial",1,1342,0,692,24,0,55,0,28
"aurora rockfish","Washington","NWFSC WCGBT",68,459,72,250,20,3,22,3,12
"bank rockfish","California","Commercial",1,10282,0,1146,24,0,428,0,47
"bank rockfish","California","NWFSC HKL",521,3442,0,3399,19,27,181,0,178
"bank rockfish","California","NWFSC WCGBT",228,1993,0,1351,20,11,99,0,67
"bank rockfish","California","Recreational",1,854,0,0,20,0,42,0,0
"bank rockfish","California","SWFSC-CPFV Coop.",1,15,0,15,1,1,15,0,15
"bank rockfish","Oregon","Commercial",1,1615,0,1569,21,0,76,0,74
"bank rockfish","Oregon","NWFSC WCGBT",18,139,0,52,13,1,10,0,4
"bank rockfish","Washington","Commercial",1,244,0,236,24,0,10,0,9
"bank rockfish","Washington","NWFSC WCGBT",3,4,0,4,3,1,1,0,1
"big skate","California","CCFRP",1,1,0,0,1,1,1,0,0
"big skate","California","Commercial",1,1579,0,0,24,0,65,0,0
"big skate","California","NWFSC WCGBT",628,2205,351,102,19,33,116,18,5
"big skate","California","Recreational",1,33,0,0,13,0,2,0,0
"big skate","Oregon","Commercial",1,6920,652,1877,23,0,300,28,81
"big skate","Oregon","NWFSC WCGBT",727,2359,386,270,19,38,124,20,14
"big skate","Oregon","Recreational",1,14,0,0,9,0,1,0,0
"big skate","Washington","Commercial",1,1450,104,537,24,0,60,4,22
"big skate","Washington","NWFSC WCGBT",475,2135,297,209,19,25,112,15,11
"black rockfish","California","CCFRP",1,18732,0,0,16,0,1170,0,0
"black rockfish","California","CDFW-Ad hoc",1,0,0,790,7,0,0,0,112
"black rockfish","California","Commercial",1,13182,1461,1896,24,0,549,60,79
"black rockfish","California","NWFSC WCGBT",3,3,0,3,3,1,1,0,1
"black rockfish","California","Recreational",1,138362,0,0,21,0,6588,0,0
"black rockfish","California","SWFSC-CPFV Coop.",1,140,0,140,1,1,140,0,140
"black rockfish","Oregon","Commercial",1,90402,16456,18719,24,0,3766,685,779
"black rockfish","Oregon","NWFSC WCGBT",5,11,0,11,3,1,3,0,3
"black rockfish","Oregon","Recreational",1,243233,34289,7221,24,0,10134,1428,300
"black rockfish","Washington","Commercial",1,95,20,0,24,0,3,0,0
"black rockfish","Washington","NWFSC WCGBT",2,2,0,2,2,1,1,0,1
"black rockfish","Washington","Recreational",1,56876,39816,1822,24,0,2369,1659,75
"blackgill rockfish","California","CDFW-Ad hoc",1,0,0,87,7,0,0,0,12
"blackgill rockfish","California","Commercial",1,20862,1097,2893,24,0,869,45,120
"blackgill rockfish","California","NWFSC HKL",5,6,0,6,4,1,1,0,1
"blackgill rockfish","California","NWFSC WCGBT",647,9923,1937,5125,20,32,496,96,256
"blackgill rockfish","California","Recreational",1,2,0,0,2,0,1,0,0
"blackgill rockfish","Oregon","Commercial",1,6745,0,6616,22,0,306,0,300
"blackgill rockfish","Oregon","NWFSC WCGBT",51,277,11,245,19,2,14,0,12
"blackgill rockfish","Washington","Commercial",1,711,0,147,24,0,29,0,6
"blackgill rockfish","Washington","NWFSC WCGBT",4,13,0,13,3,1,4,0,4
"blue and deacon rockfish","California","CCFRP",1,81497,0,0,16,0,5093,0,0
"blue and deacon rockfish","California","CDFW-Ad hoc",1,0,0,1254,7,0,0,0,179
"blue and deacon rockfish","California","Commercial",1,6127,82,1193,24,0,255,3,49
"blue and deacon rockfish","California","NWFSC HKL",185,770,0,726,19,9,40,0,38
"blue and deacon rockfish","California","NWFSC WCGBT",9,124,0,42,6,1,20,0,7
"blue and deacon rockfish","California","Recreational",1,159726,0,0,21,0,7606,0,0
"blue and deacon rockfish","California","SWFSC-CPFV Coop.",1,233,0,232,1,1,233,0,232
"blue and deacon rockfish","Oregon","Commercial",1,5653,2191,1975,24,0,235,91,82
"blue and deacon rockfish","Oregon","Recreational",1,33967,3813,8487,16,0,2122,238,530
"blue and deacon rockfish","Washington","Recreational",1,4779,101,3148,23,0,207,4,136
"bocaccio","California","CCFRP",1,53,0,0,9,0,5,0,0
"bocaccio","California","CDFW-Ad hoc",1,0,0,227,7,0,0,0,32
"bocaccio","California","Commercial",1,12713,121,2530,24,0,529,5,105
"bocaccio","California","NWFSC HKL",2194,20394,0,13458,19,115,1073,0,708
"bocaccio","California","NWFSC WCGBT",875,9799,2759,3508,20,43,489,137,175
"bocaccio","California","Recreational",1,49415,0,0,21,0,2353,0,0
"bocaccio","California","SWFSC-CPFV Coop.",1,1,0,1,1,1,1,0,1
"bocaccio","Oregon","Commercial",1,4630,0,4466,22,0,210,0,203
"bocaccio","Oregon","NWFSC WCGBT",45,214,20,142,14,3,15,1,10
"bocaccio","Oregon","Recreational",1,900,0,0,22,0,40,0,0
"bocaccio","Washington","Commercial",1,2481,0,1463,24,0,103,0,60
"bocaccio","Washington","NWFSC WCGBT",81,426,74,302,17,4,25,4,17
"bocaccio","Washington","Recreational",1,625,0,433,15,0,41,0,28
"brown rockfish","California","CCFRP",1,2032,0,0,16,0,127,0,0
"brown rockfish","California","CDFW-Ad hoc",1,0,0,772,7,0,0,0,110
"brown rockfish","California","Commercial",1,5017,0,99,24,0,209,0,4
"brown rockfish","California","NWFSC HKL",17,22,0,20,12,1,1,0,1
"brown rockfish","California","NWFSC WCGBT",112,693,0,543,20,5,34,0,27
"brown rockfish","California","Recreational",1,78162,0,0,21,0,3722,0,0
"brown rockfish","California","SWFSC-CPFV Coop.",1,113,0,113,1,1,113,0,113
"brown rockfish","Oregon","Commercial",1,11,0,3,6,0,1,0,0
"brown rockfish","Oregon","NWFSC WCGBT",2,2,0,2,2,1,1,0,1
"brown rockfish","Oregon","Recreational",1,556,13,56,23,0,24,0,2
"brown rockfish","Washington","Recreational",1,56,0,38,10,0,5,0,3
"cabezon","California","CCFRP",1,505,0,0,16,0,31,0,0
"cabezon","California","CDFW-Ad hoc",1,0,0,34,7,0,0,0,4
"cabezon","California","Commercial",1,7848,0,16,24,0,327,0,0
"cabezon","California","NWFSC WCGBT",3,5,0,4,3,1,1,0,1
"cabezon","California","Recreational",1,15737,0,0,21,0,749,0,0
"cabezon","California","SWFSC-CPFV Coop.",1,1,0,1,1,1,1,0,1
"cabezon","Oregon","Commercial",1,18154,366,368,24,0,756,15,15
"cabezon","Oregon","NWFSC WCGBT",1,1,0,1,1,1,1,0,1
"cabezon","Oregon","Recreational",1,28167,2328,1314,23,0,1224,101,57
"cabezon","Washington","NWFSC WCGBT",1,1,0,1,1,1,1,0,1
"cabezon","Washington","Recreational",1,4535,0,2351,21,0,215,0,111
"canary rockfish","California","CCFRP",1,3427,0,0,16,0,214,0,0
"canary rockfish","California","CDFW-Ad hoc",1,0,0,676,7,0,0,0,96
"canary rockfish","California","Commercial",1,8066,310,2884,24,0,336,12,120
"canary rockfish","California","NWFSC HKL",141,395,192,198,19,7,20,10,10
"canary rockfish","California","NWFSC WCGBT",278,3168,1854,94,20,13,158,92,4
"canary rockfish","California","Recreational",1,21042,0,0,20,0,1052,0,0
"canary rockfish","California","SWFSC-CPFV Coop.",1,284,0,284,1,1,284,0,284
"canary rockfish","Oregon","Commercial",1,25739,16367,7322,24,0,1072,681,305
"canary rockfish","Oregon","NWFSC WCGBT",409,4524,3052,47,20,20,226,152,2
